1;1;1;1;09/10/2011
1;2;2;1;16/10/2011
1;3;3;1;23/10/2011
1;4;4;1;30/10/2011
1;5;5;1;06/11/2011
1;6;6;1;13/11/2011
1;7;7;1;20/11/2011
1;8;8;1;27/11/2011
1;9;9;1;04/12/2011
1;10;10;1;11/12/2011
1;11;11;1;18/12/2011
1;12;12;1;27/12/2011
1;13;13;1;30/12/2011
1;14;14;1;03/01/2012
1;15;15;1;08/01/2012
1;16;1;2;11/01/2011
1;17;2;2;15/01/2012
1;18;3;2;22/01/2012
1;19;4;2;29/01/2012
1;20;5;2;05/02/2012
1;21;6;2;12/02/2012
1;22;7;2;26/02/2012
1;23;8;2;04/03/2012
1;24;9;2;18/03/2012
1;25;10;2;25/03/2012
1;26;11;2;01/04/2012
1;27;12;2;09/04/2012
1;28;13;2;15/04/2012
1;29;14;2;22/04/2012
1;30;15;2;25/04/2012
2;1;1;1;02/10/2011
2;2;2;1;09/10/2011
2;3;3;1;16/10/2011
2;4;4;1;23/10/2011
2;5;5;1;30/10/2011
2;6;6;1;06/11/2011
2;7;7;1;13/11/2011
2;8;8;1;20/11/2011
2;9;9;1;27/11/2011
2;10;10;1;04/12/2011
2;11;11;1;11/12/2011
2;12;12;1;18/12/2011
2;13;13;1;27/12/2011
2;14;14;1;30/12/2011
2;15;15;1;03/01/2012
2;16;1;2;08/01/2012
2;17;2;2;11/01/2011
2;18;3;2;18/01/2012
2;19;4;2;22/01/2012
2;20;5;2;05/02/2012
2;21;6;2;12/02/2012
2;22;7;2;26/02/2012
2;23;8;2;04/03/2012
2;24;9;2;18/03/2012
2;25;10;2;25/03/2012
2;26;11;2;01/04/2012
2;27;12;2;09/04/2012
2;28;13;2;15/04/2012
2;29;14;2;22/04/2012
2;30;15;2;25/04/2012
3;1;1;1;25/09/2011
3;2;2;1;02/10/2011
3;3;3;1;09/10/2011
3;4;4;1;13/10/2011
3;5;5;1;16/10/2011
3;6;6;1;23/10/2011
3;7;7;1;30/10/2011
3;8;8;1;06/11/2011
3;9;9;1;13/11/2011
3;10;10;1;20/11/2011
3;11;11;1;27/11/2011
3;12;12;1;04/12/2011
3;13;13;1;08/12/2011
3;14;14;1;11/12/2011
3;15;15;1;18/12/2011
3;16;16;1;22/12/2011
3;17;17;1;05/01/2012
3;18;1;2;08/01/2012
3;19;2;2;15/01/2012
3;20;3;2;22/01/2012
3;21;4;2;29/01/2012
3;22;5;2;05/02/2012
3;23;6;2;09/02/2012
3;24;7;2;12/02/2012
3;25;8;2;19/02/2012
3;26;9;2;23/02/2012
3;27;10;2;26/02/2012
3;28;11;2;04/03/2012
3;29;12;2;08/03/2012
3;30;13;2;11/03/2012
3;31;14;2;22/03/2012
3;32;15;2;25/03/2012
3;33;16;2;01/04/2012
3;34;17;2;15/04/2012
4;1;1;1;25/09/2011
4;2;2;1;02/10/2011
4;3;3;1;09/10/2011
4;4;4;1;16/10/2011
4;5;5;1;23/10/2011
4;6;6;1;27/10/2011
4;7;7;1;03/11/2011
4;8;8;1;06/11/2011
4;9;9;1;13/11/2011
4;10;10;1;20/11/2011
4;11;11;1;27/11/2011
4;12;12;1;04/12/2011
4;13;13;1;08/12/2011
4;14;14;1;11/12/2011
4;15;15;1;18/12/2011
4;16;16;1;05/01/2012
4;17;17;1;08/01/2012
4;18;1;2;15/01/2012
4;19;2;2;22/01/2012
4;20;3;2;29/01/2012
4;21;4;2;05/02/2012
4;22;5;2;12/02/2012
4;23;6;2;16/02/2012
